0.3	-16.402
0.301	-16.5444
0.302	-16.6807
0.303	-16.8105
0.304	-16.9339
0.305	-17.0509
0.306	-17.1615
0.307	-17.2656
0.308	-17.3632
0.309	-17.4544
0.31	-17.5391
0.311	-17.6173
0.312	-17.689
0.313	-17.7542
0.314	-17.813
0.315	-17.8653
0.316	-17.9112
0.317	-17.9506
0.318	-17.9836
0.319	-18.0102
0.32	-18.0305
0.321	-18.0444
0.322	-18.0521
0.323	-18.0535
0.324	-18.0488
0.325	-18.0378
0.326	-18.0207
0.327	-17.9975
0.328	-17.9685
0.329	-17.9333
0.33	-17.8923
0.331	-17.8455
0.332	-17.7929
0.333	-17.7346
0.334	-17.6707
0.335	-17.6013
0.336	-17.5264
0.337	-17.4461
0.338	-17.3604
0.339	-17.2696
0.34	-17.1735
0.341	-17.0725
0.342	-16.9666
0.343	-16.8558
0.344	-16.7401
0.345	-16.6198
0.346	-16.495
0.347	-16.3658
0.348	-16.2321
0.349	-16.0943
0.35	-15.9523
0.351	-15.8062
0.352	-15.6563
0.353	-15.5025
0.354	-15.3451
0.355	-15.1841
0.356	-15.0197
0.357	-14.8519
0.358	-14.6809
0.359	-14.507
0.36	-14.33
0.361	-14.1501
0.362	-13.9677
0.363	-13.7826
0.364	-13.5951
0.365	-13.4052
0.366	-13.2132
0.367	-13.0191
0.368	-12.8231
0.369	-12.6252
0.37	-12.4258
0.371	-12.2248
0.372	-12.0224
0.373	-11.8186
0.374	-11.6138
0.375	-11.408
0.376	-11.2013
0.377	-10.9938
0.378	-10.7857
0.379	-10.5771
0.38	-10.3682
0.381	-10.159
0.382	-9.94976
0.383	-9.74052
0.384	-9.53144
0.385	-9.32264
0.386	-9.11424
0.387	-8.90637
0.388	-8.69915
0.389	-8.49272
0.39	-8.28717
0.391	-8.08262
0.392	-7.87922
0.393	-7.67705
0.394	-7.47625
0.395	-7.27692
0.396	-7.07918
0.397	-6.88313
0.398	-6.68888
0.399	-6.49654
0.4	-6.30621
0.401	-6.11799
0.402	-5.93197
0.403	-5.74827
0.404	-5.56697
0.405	-5.38817
0.406	-5.21196
0.407	-5.03842
0.408	-4.86764
0.409	-4.69971
0.41	-4.5347
0.411	-4.3727
0.412	-4.21378
0.413	-4.05801
0.414	-3.90546
0.415	-3.7562
0.416	-3.6103
0.417	-3.46782
0.418	-3.32882
0.419	-3.19334
0.42	-3.06146
0.421	-2.93321
0.422	-2.80865
0.423	-2.68781
0.424	-2.57076
0.425	-2.45751
0.426	-2.3481
0.427	-2.24257
0.428	-2.14095
0.429	-2.04326
0.43	-1.94953
0.431	-1.85978
0.432	-1.77402
0.433	-1.69227
0.434	-1.61454
0.435	-1.54084
0.436	-1.47117
0.437	-1.40554
0.438	-1.34393
0.439	-1.28636
0.44	-1.2328
0.441	-1.18325
0.442	-1.1377
0.443	-1.09613
0.444	-1.05852
0.445	-1.02484
0.446	-0.99507
0.447	-0.969183
0.448	-0.947146
0.449	-0.928925
0.45	-0.91448
0.451	-0.903773
0.452	-0.89676
0.453	-0.893396
0.454	-0.893631
0.455	-0.897414
0.456	-0.904693
0.457	-0.915408
0.458	-0.929504
0.459	-0.946915
0.46	-0.967579
0.461	-0.991431
0.462	-1.0184
0.463	-1.04841
0.464	-1.0814
0.465	-1.11729
0.466	-1.15599
0.467	-1.19743
0.468	-1.24153
